image_1,image_2,legit_pair
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_03.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_22.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_24.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_21.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_11.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_09.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_20.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_19.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_23.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_12.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_13.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_10.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_05.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0102014_03.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0208014_03.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0214014_03.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0104014_01.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0104014_02.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0104014_03.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0102014_01.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0208014_04.png,0
data_set/train/genuine/014_08.PNG,data_set/train/forgeries/0102014_04.png,0
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_22.PNG,1
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_24.PNG,1
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_21.PNG,1
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_11.PNG,1
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_09.PNG,1
data_set/train/genuine/014_03.PNG,data_set/train/genuine/014_20.PNG,1
